iter	Passed	Remaining
559	4098	3220
560	4103	3211
561	4109	3202
562	4116	3195
563	4122	3186
564	4128	3178
565	4135	3170
566	4142	3163
567	4156	3161
568	4171	3159
569	4184	3156
570	4199	3154
571	4213	3153
572	4225	3148
573	4238	3145
574	4243	3136
575	4249	3127
576	4254	3119
577	4260	3110
578	4265	3101
579	4271	3092
580	4277	3084
581	4282	3076
582	4288	3067
583	4293	3058
584	4299	3049
585	4304	3041
586	4309	3032
587	4315	3023
588	4320	3014
589	4326	3006
590	4331	2997
591	4337	2989
592	4342	2980
593	4347	2971
594	4353	2963
595	4358	2954
596	4364	2946
597	4369	2937
598	4375	2929
599	4380	2920
600	4388	2913
601	4402	2910
602	4415	2907
603	4428	2903
604	4441	2899
605	4448	2892
606	4461	2888
607	4474	2884
608	4486	2880
609	4493	2873
610	4498	2864
611	4504	2855
612	4510	2847
613	4515	2838
614	4520	2829
615	4525	2821
616	4531	2812
617	4538	2805
618	4544	2797
619	4550	2788
620	4555	2780
621	4564	2774
622	4571	2766
623	4576	2757
624	4584	2750
625	4590	2742
626	4596	2734
627	4601	2725
628	4607	2717
629	4612	2708
630	4618	2700
631	4627	2694
632	4633	2686
633	4639	2678
634	4644	2669
635	4650	2661
636	4655	2653
637	4660	2644
638	4665	2636
639	4671	2627
640	4676	2619
641	4682	2610
642	4687	2602
643	4693	2594
644	4698	2586
645	4704	2577
646	4709	2569
647	4714	2561
648	4720	2552
649	4725	2544
650	4730	2536
651	4736	2527
652	4741	2519
653	4746	2511
654	4752	2503
655	4757	2494
656	4762	2486
657	4767	2478
658	4772	2469
659	4777	2461
660	4783	2453
661	4789	2445
662	4794	2437
663	4799	2428
664	4805	2420
665	4810	2412
666	4816	2404
667	4821	2396
668	4826	2388
669	4832	2380
670	4837	2371
671	4842	2363
672	4848	2355
673	4853	2347
674	4858	2339
675	4864	2331
676	4869	2323
677	4875	2315
678	4880	2307
679	4886	2299
680	4891	2291
681	4896	2283
682	4901	2275
683	4908	2267
684	4914	2259
685	4919	2251
686	4925	2243
687	4929	2235
688	4934	2227
689	4940	2219
690	4946	2211
691	4952	2204
692	4957	2196
693	4962	2188
694	4968	2180
695	4973	2172
696	4979	2164
697	4985	2157
698	4990	2149
699	4995	2141
700	5001	2133
701	5006	2125
702	5012	2117
703	5017	2109
704	5022	2101
705	5030	2094
706	5035	2086
707	5041	2079
708	5046	2071
709	5052	2063
710	5057	2055
711	5063	2048
712	5073	2042
713	5078	2034
714	5095	2030
715	5114	2028
716	5123	2022
717	5129	2014
718	5134	2006
719	5139	1998
720	5145	1990
721	5149	1982
722	5155	1975
723	5160	1967
724	5166	1959
725	5172	1952
726	5178	1944
727	5183	1936
728	5189	1929
729	5194	1921
730	5199	1913
731	5204	1905
732	5210	1897
733	5216	1890
734	5221	1882
735	5226	1874
736	5232	1867
737	5237	1859
738	5243	1851
739	5249	1844
740	5254	1836
741	5260	1829
742	5265	1821
743	5271	1813
744	5276	1806
745	5281	1798
746	5286	1790
747	5292	1783
748	5297	1775
749	5303	1767
750	5308	1760
751	5321	1755
752	5332	1749
753	5343	1743
754	5351	1736
755	5364	1731
756	5379	1726
757	5387	1720
758	5395	1713
759	5402	1706
760	5410	1699
761	5417	1692
762	5427	1685
763	5434	1678
764	5443	1672
765	5449	1664
766	5455	1657
767	5461	1649
768	5466	1642
769	5472	1634
770	5478	1627
771	5483	1619
772	5489	1612
773	5494	1604
774	5500	1596
775	5505	1589
776	5510	1581
777	5515	1573
778	5525	1567
779	5536	1561
780	5551	1556
781	5565	1551
782	5575	1545
783	5581	1537
784	5586	1530
785	5591	1522
786	5596	1514
787	5601	1507
788	5607	1499
789	5613	1492
790	5621	1485
791	5626	1477
792	5632	1470
793	5638	1462
794	5643	1455
795	5648	1447
796	5654	1440
797	5659	1432
798	5665	1425
799	5670	1417
800	5676	1410
801	5681	1402
802	5686	1395
803	5692	1387
804	5697	1380
805	5703	1372
806	5708	1365
807	5714	1357
808	5719	1350
809	5725	1342
810	5730	1335
811	5736	1328
812	5741	1320
813	5746	1313
814	5751	1305
815	5756	1298
816	5762	1290
817	5768	1283
818	5773	1275
819	5778	1268
820	5784	1261
821	5789	1253
822	5794	1246
823	5798	1238
824	5803	1231
825	5809	1223
826	5814	1216
827	5819	1208
828	5824	1201
829	5829	1194
830	5835	1186
831	5841	1179
832	5846	1172
833	5851	1164
834	5857	1157
835	5862	1150
836	5868	1142
837	5873	1135
838	5878	1128
839	5883	1120
840	5889	1113
841	5894	1106
842	5900	1098
843	5906	1091
844	5911	1084
845	5917	1077
846	5923	1069
847	5928	1062
848	5934	1055
849	5939	1048
850	5944	1040
851	5950	1033
852	5955	1026
853	5961	1019
854	5966	1011
855	5972	1004
856	5978	997
857	5983	990
858	5988	983
859	5994	975
860	6000	968
861	6005	961
862	6011	954
863	6016	947
864	6023	940
865	6028	932
866	6034	925
867	6039	918
868	6045	911
869	6051	904
870	6056	897
871	6064	890
872	6070	883
873	6075	875
874	6081	868
875	6086	861
876	6091	854
877	6097	847
878	6102	840
879	6109	833
880	6114	825
881	6119	818
882	6125	811
883	6130	804
884	6135	797
885	6141	790
886	6146	783
887	6152	775
888	6157	768
889	6163	761
890	6168	754
891	6173	747
892	6178	740
893	6184	733
894	6189	726
895	6195	719
896	6200	712
897	6206	704
898	6211	697
899	6217	690
900	6222	683
901	6228	676
902	6233	669
903	6238	662
904	6244	655
905	6249	648
906	6255	641
907	6260	634
908	6265	627
909	6272	620
910	6277	613
911	6283	606
912	6288	599
913	6293	592
914	6298	585
915	6305	578
916	6313	571
917	6317	564
918	6322	557
919	6328	550
920	6334	543
921	6339	536
922	6345	529
923	6362	523
924	6376	516
925	6392	510
926	6402	504
927	6407	497
928	6414	490
929	6430	484
930	6447	477
931	6458	471
932	6471	464
933	6481	457
934	6487	450
935	6493	443
936	6513	437
937	6529	431
938	6543	425
939	6550	418
940	6557	411
941	6565	404
942	6571	397
943	6581	390
944	6587	383
945	6594	376
946	6603	369
947	6614	362
948	6620	355
949	6625	348
950	6631	341
951	6636	334
952	6641	327
953	6648	320
954	6654	313
955	6659	306
956	6665	299
957	6670	292
958	6676	285
959	6682	278
960	6687	271
961	6692	264
962	6697	257
963	6702	250
964	6708	243
965	6713	236
966	6718	229
967	6724	222
968	6729	215
969	6734	208
970	6740	201
971	6745	194
972	6751	187
973	6756	180
974	6762	173
975	6767	166
976	6772	159
977	6778	152
978	6783	145
979	6788	138
980	6794	131
981	6799	124
982	6804	117
983	6810	110
984	6815	103
985	6821	96
986	6826	89
987	6832	82
988	6837	76
989	6843	69
990	6848	62
991	6854	55
992	6859	48
993	6865	41
994	6870	34
995	6876	27
996	6881	20
997	6887	13
998	6892	6
999	6898	0
