iter	Logloss
0	0.6518424857
1	0.6141611753
2	0.582595191
3	0.5531170226
4	0.5271177941
5	0.5028945331
6	0.4804836517
7	0.4598074649
8	0.444794458
9	0.4301669553
10	0.4161450076
11	0.4033573855
12	0.3925795107
13	0.3814910025
14	0.3707128932
15	0.361397112
16	0.3535756155
17	0.3461543332
18	0.3387466628
19	0.3324730993
20	0.3262410112
21	0.3213250376
22	0.3165590724
23	0.3112133584
24	0.3063091101
25	0.3026194358
26	0.2972292832
27	0.2929777891
28	0.2896350004
29	0.286020229
30	0.2836577868
31	0.2808376876
32	0.2777435377
33	0.2755192508
34	0.2737832238
35	0.2707459839
36	0.268693333
37	0.2671298907
38	0.2651259529
39	0.263127707
40	0.261717279
41	0.25982973
42	0.2580928609
43	0.2571857544
44	0.2550885157
45	0.2536613099
46	0.2524218997
47	0.2515879374
48	0.250593819
49	0.2484190445
50	0.2475489471
51	0.2457607215
52	0.2450602135
53	0.2441488007
54	0.2430172306
55	0.2426050994
56	0.2417317403
57	0.2407454672
58	0.2400643911
59	0.2392352148
60	0.2387882703
61	0.2383709693
62	0.2379517817
63	0.2374194988
64	0.2364978317
65	0.2360024407
66	0.2352784184
67	0.2345168327
68	0.2342727666
69	0.232941921
70	0.2322013127
71	0.2318502274
72	0.2313157167
73	0.2308100075
74	0.2304302912
75	0.2299774841
76	0.229509754
77	0.2281600734
78	0.2278975241
79	0.2274609405
80	0.2267344878
81	0.2263784778
82	0.2261057596
83	0.2258342246
84	0.2256462372
85	0.2254248648
86	0.2248073609
87	0.2242559765
88	0.2233023635
89	0.2230005881
90	0.2228366693
91	0.2226814912
92	0.2219603043
93	0.2217857582
94	0.2212121919
95	0.2208865929
96	0.2207520832
97	0.2205029007
98	0.220220781
99	0.2200353518
100	0.219770628
101	0.2195762237
102	0.2194841274
103	0.2193567487
104	0.2188873131
105	0.2185552546
106	0.2183333386
107	0.2181044301
108	0.2177791082
109	0.2176559294
110	0.2174280548
111	0.2173141176
112	0.2170503958
113	0.2165365536
114	0.2163992191
115	0.2162254938
116	0.2161004709
117	0.2159518056
118	0.2157878762
119	0.2156536224
120	0.2155831644
121	0.2154249164
122	0.2153309653
123	0.2151452377
124	0.2149570797
125	0.213997604
126	0.2138891243
127	0.2137421539
128	0.2135670962
129	0.2134157128
130	0.2132826421
131	0.2131611048
132	0.213017023
133	0.2127450722
134	0.2124653402
135	0.2122494787
136	0.211962072
137	0.2117389408
138	0.2115719629
139	0.21076095
140	0.2104831793
141	0.2102981871
142	0.2101456632
143	0.2100614014
144	0.2098428431
145	0.2096528091
146	0.209551226
147	0.2091515875
148	0.209068786
149	0.2089911756
150	0.2088162352
151	0.2087252048
152	0.2083561798
153	0.208179715
154	0.2081304797
155	0.2080215843
156	0.2077151401
157	0.207582549
158	0.2074983406
159	0.2072677266
160	0.2066586541
161	0.206527598
162	0.2063251992
163	0.2062037685
164	0.2061280448
165	0.206087177
166	0.2059950167
167	0.2058757925
168	0.2052963955
169	0.2049171909
170	0.2047949074
171	0.2045515342
172	0.2044985788
173	0.2043686846
174	0.2041001555
175	0.2039974851
176	0.203893461
177	0.2038327456
178	0.2037131909
179	0.2036315726
180	0.2035300961
181	0.2033265034
182	0.2032385322
183	0.2031506463
184	0.202840354
185	0.20253068
186	0.2022407684
187	0.2021071434
188	0.202030002
189	0.2019468062
190	0.2018363758
191	0.2015365617
192	0.2013813622
193	0.2012647708
194	0.2011279693
195	0.2010117083
196	0.2008643968
197	0.2007977762
198	0.2007032815
199	0.2004468827
200	0.2001703591
201	0.2000048948
202	0.1998183463
203	0.1997525678
204	0.1995786613
205	0.1994694994
206	0.1992662798
207	0.1992019616
208	0.1989842667
209	0.1988907846
210	0.1986743156
211	0.1984656811
212	0.1983829222
213	0.1982697525
214	0.1981593861
215	0.198050885
216	0.1979332277
217	0.1978312075
218	0.1977358707
219	0.1976782359
220	0.1975910428
221	0.1974636428
222	0.1973580305
223	0.1972831382
224	0.1972050908
225	0.197056788
226	0.1970057512
227	0.196807403
228	0.1966822521
229	0.1966116662
230	0.1962889879
231	0.1961963479
232	0.1959593277
233	0.1958374919
234	0.1957071819
235	0.1955982545
236	0.1955425064
237	0.1953417278
238	0.1952607171
239	0.1951562986
240	0.195079946
241	0.1949402772
242	0.1948766412
243	0.1947672448
244	0.194708075
245	0.1946086344
246	0.1944765976
247	0.1944037626
248	0.1942470389
249	0.194170228
250	0.194120012
251	0.1940474862
252	0.193891903
253	0.1936588694
254	0.1930925301
255	0.1930051664
256	0.1929459434
257	0.1925215753
258	0.1924314296
259	0.1923489692
260	0.1918720508
261	0.1916269402
262	0.1914749066
263	0.1913807103
264	0.1912233364
265	0.1910969597
266	0.1910362976
267	0.1906241131
268	0.1905227539
269	0.1904317447
270	0.1902985355
271	0.1901347873
272	0.1900464323
273	0.1895997117
274	0.1895409257
275	0.1895122202
276	0.189394776
277	0.1892350037
278	0.1891599729
279	0.1889998702
280	0.1889147983
281	0.1888495314
282	0.1887085622
283	0.1885281855
284	0.1883999754
285	0.1880783737
286	0.1879688387
287	0.1878626294
288	0.1877446096
289	0.1876663064
290	0.1875832918
291	0.1875248788
292	0.1874021689
293	0.187338469
294	0.1872695886
295	0.1870711976
296	0.1870077748
297	0.1869896647
298	0.1869296315
299	0.1868699927
300	0.1868382386
301	0.1866763452
302	0.1865861142
303	0.1864323644
304	0.1863244603
305	0.1861672463
306	0.1860459328
307	0.1855259934
308	0.1853736294
309	0.185265704
310	0.1848628464
311	0.1847628195
312	0.1846734412
313	0.1843537475
314	0.1842281596
315	0.1841120585
316	0.1839990379
317	0.1839282389
318	0.1837879198
319	0.1837045215
320	0.1836153671
321	0.1834927638
322	0.1834218688
323	0.1832777977
324	0.1830016685
325	0.182933353
326	0.1828456483
327	0.1827336297
328	0.1826518942
329	0.1826075089
330	0.1825985231
331	0.1825014168
332	0.1824618921
333	0.18235305
334	0.1820238588
335	0.1819813709
336	0.1819495742
337	0.1818220889
338	0.1817332756
339	0.1816669108
340	0.1815309301
341	0.181413859
342	0.1813012115
343	0.181014082
344	0.1809083097
345	0.1808250393
346	0.1805775943
347	0.1804855832
348	0.1803750356
349	0.1803147039
350	0.1801378981
351	0.1800485305
352	0.1799530445
353	0.1798305478
354	0.1797077953
355	0.1796111048
356	0.1794311545
357	0.1794102942
358	0.1793694371
359	0.1793193917
360	0.1788197583
361	0.1787123445
362	0.1785663867
363	0.1784744556
364	0.1783910572
365	0.1783164048
366	0.1782786229
367	0.1781934125
368	0.1778722424
369	0.1777762607
370	0.1777064796
371	0.1776507475
372	0.1776131308
373	0.1770567846
374	0.1769942465
375	0.1768938198
376	0.176820777
377	0.1767096964
378	0.1766151537
379	0.1764759006
380	0.1762304809
381	0.1762022711
382	0.176086074
383	0.1760469544
384	0.1759950116
385	0.1759406279
386	0.1759233278
387	0.1758774395
388	0.1758431592
389	0.1757710171
390	0.1756351643
391	0.1755487866
392	0.1753403653
393	0.1752954737
394	0.1752855712
395	0.1751570733
396	0.1750718416
397	0.1749456941
398	0.1748386374
399	0.1747527234
400	0.1741419508
401	0.1740539103
402	0.1738554022
403	0.1737694402
404	0.1736833237
405	0.1735952672
406	0.1735412246
407	0.1733580605
408	0.1732610022
409	0.1731642211
410	0.1730209068
411	0.1728154435
412	0.1727149103
413	0.1726386749
414	0.1725404921
415	0.1724428956
416	0.1723162311
417	0.1720991331
418	0.171851816
419	0.17167048
420	0.1716353256
421	0.1715686783
422	0.1714564839
423	0.1713573524
424	0.1712585566
425	0.1711783561
426	0.171090113
427	0.1709369176
428	0.170715444
429	0.1706575533
430	0.1706465529
431	0.1705805452
432	0.1704893442
433	0.170342507
434	0.1702800328
435	0.170228607
436	0.1701648698
437	0.1701117704
438	0.1699097234
439	0.1698261225
440	0.1697526266
441	0.1697216454
442	0.1696746165
443	0.1695837673
444	0.1695188575
445	0.1692439968
446	0.169160721
447	0.1690287055
448	0.168990428
449	0.168878564
450	0.16879257
451	0.1687043697
452	0.1686037245
453	0.1685066236
454	0.1683534975
455	0.1682701151
456	0.1680815414
457	0.1679522068
458	0.1678690376
459	0.1677297631
460	0.1675566721
461	0.1674399527
462	0.1672809533
463	0.1671579503
464	0.1669939143
465	0.1669237228
466	0.166858813
467	0.1667823432
468	0.1666355113
469	0.1661373276
470	0.1660651748
471	0.1656667354
472	0.165562253
473	0.1653577223
474	0.1652564003
475	0.1651335092
476	0.1649718609
477	0.1648615638
478	0.1647592665
479	0.1645700959
480	0.1644938926
481	0.1644284125
482	0.1643961361
483	0.164356249
484	0.1642868783
485	0.1640555075
486	0.163907162
487	0.1637832423
488	0.1637396351
489	0.1636751623
490	0.1636080141
491	0.1635103482
492	0.1634687183
493	0.163438803
494	0.1633842967
495	0.1632971782
496	0.1632908412
497	0.1632511833
498	0.1631812583
499	0.1631311169
500	0.1630676302
501	0.1627496685
502	0.1626879618
503	0.1626017814
504	0.1623745571
505	0.1622409587
506	0.1621446679
507	0.1621126314
508	0.1620576614
509	0.1616703504
510	0.1615915462
511	0.1613641087
512	0.1612522393
513	0.1609620398
514	0.1607203509
515	0.1606534691
516	0.160516593
517	0.1604394783
518	0.1603504998
519	0.1602077184
520	0.1600912869
521	0.1600327993
522	0.1598982576
523	0.1597621224
524	0.1597151095
525	0.1596813568
526	0.1596200179
527	0.159611224
528	0.1595530668
529	0.1595118846
530	0.1593374452
531	0.1592666088
532	0.1592313531
533	0.159170739
534	0.1591322589
535	0.1590552188
536	0.1589939332
537	0.1589236618
538	0.1587396129
539	0.1587162104
540	0.1586851066
541	0.1585967303
542	0.158574138
543	0.1584888689
544	0.158444249
545	0.158441856
546	0.1584374271
547	0.1581519284
548	0.1581152764
549	0.1580826749
550	0.1579721113
551	0.1578650653
552	0.157803689
553	0.1577762733
554	0.1576967336
555	0.1576577312
556	0.1576137829
557	0.1575576937
558	0.1575303632
559	0.1574567981
560	0.1574538721
561	0.1573284494
562	0.1572444488
563	0.1571787022
564	0.1570967109
565	0.1570664705
566	0.1570454557
567	0.156985172
568	0.1569326003
569	0.1568199208
570	0.1567674558
571	0.1567196168
572	0.1567178207
573	0.1566327222
574	0.1565872923
575	0.1564606811
576	0.156166559
577	0.1560636488
578	0.155990931
579	0.1559396172
580	0.1558525253
581	0.1557627847
582	0.1556851317
583	0.1556470407
584	0.1555798391
585	0.1555359281
586	0.1554920544
587	0.1554547202
588	0.1553975704
589	0.1553563935
